[37.211647999999997, -121.72469]
[37.026829999999997, -121.641503]
[37.618263472527417, -122.38325135164825]
[37.716667000000001, -122.283333]
[37.698566999999997, -121.845122]
[39.518239000000001, -121.19258499999999]
[39.951976000000002, -120.96643]
[38.966831999999997, -123.11684]
[38.692105699999999, -121.59064679999999]
[39.197713, -120.23224]
[37.484122999999997, -119.962951]
[33.980146500000004, -117.6374345]
[33.836785499999998, -117.90006099999999]
[34.189340800000004, -118.62343500000001]
[34.238709749999998, -118.47607225]
[33.805265777777777, -118.18210477777777]
[33.951256999999998, -118.041511]
[34.039121399999999, -118.35773080000001]
[34.024916769230764, -118.44091953846154]
[33.943663715909103, -118.40211117045443]
[33.946544500000002, -118.3175435]
[34.049796666666666, -118.2597166]
[33.884445600000006, -118.29281619999999]
[33.978262000000001, -118.18433899999999]
[34.170372999999998, -118.15525450000001]
[34.154657399999998, -118.25276579999999]
[34.101596899999997, -118.33482810000002]
[34.176982384615378, -118.38810507692308]
[34.062268000000003, -118.96982199999999]
[32.734979000000003, -117.19458299999999]
[33.105516999999999, -117.04568999999999]
[32.835085999999997, -116.88788]
[33.434049999999999, -117.139702]
[34.855432, -117.131433]
[36.456367999999998, -116.866151]
